"Jahr","Swiss GHD DOY","Mittlere April-Juli-Temperatur","11-jährig gleitendes Temperaturmittel","oberer doppelter Standard-Temperaturschätzfehler","unterer doppelter Standard-Temperaturschätzfehler"
1772,289,0.286999999999999,-0.0804545454545466,0.919545454545453,-1.08045454545455
1773,301,-0.841000000000001,0.0733636363636353,1.07336363636364,-0.926636363636365
1774,283,0.850999999999999,0.167363636363635,1.16736363636364,-0.832636363636365
1775,290,0.192999999999998,0.286999999999999,1.287,-0.713000000000001
1776,292,0.004999999999999,0.483545454545454,1.48354545454545,-0.516454545454546
1777,292,0.004999999999999,0.500636363636362,1.50063636363636,-0.499363636363638
1778,284,0.756999999999998,0.55190909090909,1.55190909090909,-0.44809090909091
1779,282,0.945,0.714272727272726,1.71427272727273,-0.285727272727274
1780,280,1.133,0.586090909090908,1.58609090909091,-0.413909090909092
1781,275,1.603,0.586090909090908,1.58609090909091,-0.413909090909092
1782,286,0.568999999999999,0.568999999999999,1.569,-0.431000000000001
1783,283,0.850999999999999,0.714272727272726,1.71427272727273,-0.285727272727274
1784,282,0.945,0.662999999999999,1.663,-0.337000000000001
1785,298,-0.559000000000001,0.620272727272726,1.62027272727273,-0.379727272727274
1786,290,0.192999999999998,0.594636363636362,1.59463636363636,-0.405363636363638
1787,294,-0.183,0.466454545454544,1.46645454545454,-0.533545454545456
1788,275,1.603,0.509181818181817,1.50918181818182,-0.490818181818183
1789,290,0.192999999999998,0.637363636363635,1.63736363636364,-0.362636363636365
1790,287,0.474999999999998,0.654454545454544,1.65445454545454,-0.345545454545456
1791,283,0.850999999999999,0.697181818181817,1.69718181818182,-0.302818181818183
1792,290,0.192999999999998,0.765545454545453,1.76554545454545,-0.234454545454547
1793,281,1.039,0.859545454545453,1.85954545454545,-0.140454545454547
1794,268,2.261,0.64590909090909,1.64590909090909,-0.35409090909091
1795,280,1.133,0.748454545454544,1.74845454545454,-0.251545454545456
1796,293,-0.0890000000000022,0.791181818181817,1.79118181818182,-0.208818181818183
1797,282,0.945,0.850999999999999,1.851,-0.149000000000001
1798,283,0.850999999999999,0.876636363636363,1.87663636363636,-0.123363636363637
1799,300,-0.747,0.850999999999999,1.851,-0.149000000000001
1800,278,1.321,0.577545454545454,1.57754545454545,-0.422454545454546
1801,282,0.945,0.526272727272726,1.52627272727273,-0.473727272727274
1802,276,1.509,0.697181818181818,1.69718181818182,-0.302818181818182
1803,287,0.474999999999998,0.654454545454545,1.65445454545454,-0.345545454545455
1804,284,0.756999999999998,0.509181818181817,1.50918181818182,-0.490818181818183
1805,300,-0.747,0.620272727272726,1.62027272727273,-0.379727272727274
1806,286,0.568999999999999,0.64590909090909,1.64590909090909,-0.35409090909091
1807,273,1.791,0.509181818181817,1.50918181818182,-0.490818181818183
1808,287,0.474999999999998,0.329727272727272,1.32972727272727,-0.670272727272728
1809,300,-0.747,0.26990909090909,1.26990909090909,-0.73009090909091
1810,287,0.474999999999998,0.26990909090909,1.26990909090909,-0.73009090909091
1811,275,1.603,0.210090909090908,1.21009090909091,-0.789909090909092
1812,298,-0.559000000000001,0.141727272727272,1.14172727272727,-0.858272727272728
1813,297,-0.465,0.0733636363636353,1.07336363636364,-0.926636363636365
1814,294,-0.183,0.133181818181817,1.13318181818182,-0.866818181818183
1815,284,0.756999999999998,0.218636363636362,1.21863636363636,-0.781363636363638
1816,307,-1.405,0.107545454545454,1.10754545454545,-0.892454545454546
1817,294,-0.183,0.278454545454545,1.27845454545454,-0.721545454545455
1818,281,1.039,0.321181818181817,1.32118181818182,-0.678818181818183
1819,280,1.133,0.372454545454545,1.37245454545454,-0.627545454545455
1820,290,0.192999999999998,0.500636363636363,1.50063636363636,-0.499363636363637
1821,300,-0.747,0.526272727272726,1.52627272727273,-0.473727272727274
1822,255,3.483,0.756999999999999,1.757,-0.243000000000001
1823,293,-0.0890000000000022,0.859545454545454,1.85954545454545,-0.140454545454546
1824,291,0.0990000000000002,0.765545454545454,1.76554545454545,-0.234454545454546
1825,279,1.227,0.722818181818181,1.72281818181818,-0.277181818181819
1826,281,1.039,0.748454545454545,1.74845454545454,-0.251545454545455
1827,280,1.133,0.825363636363636,1.82536363636364,-0.174636363636364
1828,282,0.945,0.568999999999999,1.569,-0.431000000000001
1829,292,0.004999999999999,0.774090909090908,1.77409090909091,-0.225909090909092
1830,285,0.663,0.808272727272726,1.80827272727273,-0.191727272727274
1831,287,0.474999999999998,0.714272727272726,1.71427272727273,-0.285727272727274
1832,291,0.0990000000000002,0.628818181818181,1.62881818181818,-0.371181818181819
1833,285,0.663,0.560454545454545,1.56045454545454,-0.439545454545455
1834,269,2.167,0.55190909090909,1.55190909090909,-0.44809090909091
1835,287,0.474999999999998,0.620272727272726,1.62027272727273,-0.379727272727274
1836,290,0.192999999999998,0.662999999999999,1.663,-0.337000000000001
